"Dataset","Threshold","NetBenefit_Model","NetBenefit_All","NetBenefit_None"
"GSE27150",0.44,0.0588235294117647,-0.102941176470588,0
"GSE27150",0.45,0.0588235294117647,-0.122994652406417,0
"GSE27150",0.46,0.0441176470588235,-0.143790849673203,0
"GSE27150",0.47,0.0294117647058824,-0.165371809100999,0
"GSE27150",0.48,0.0294117647058824,-0.187782805429864,0
"GSE27150",0.49,0.0294117647058824,-0.211072664359862,0
"GSE27150",0.5,0.0294117647058824,-0.235294117647059,0
"GSE27150",0.51,0.0294117647058824,-0.260504201680672,0
"GSE27150",0.52,0.0147058823529412,-0.286764705882353,0
"GSE27150",0.53,0.0147058823529412,-0.314142678347935,0
"GSE27150",0.54,0.0147058823529412,-0.342710997442455,0
"GSE27150",0.55,0.0147058823529412,-0.372549019607843,0
"GSE27150",0.56,0.0147058823529412,-0.403743315508022,0
"GSE27150",0.57,0.0147058823529412,-0.436388508891929,0
"GSE27150",0.58,0.0147058823529412,-0.470588235294118,0
"GSE27150",0.59,0.0147058823529412,-0.506456241032998,0
"GSE27150",0.6,0.0147058823529412,-0.544117647058824,0
"ICGC-LIRI-JP (HCCDB18)",0.01,0.359448139935945,0.359448139935945,0
"ICGC-LIRI-JP (HCCDB18)",0.02,0.352911896465903,0.352911896465903,0
"ICGC-LIRI-JP (HCCDB18)",0.03,0.346240885089263,0.346240885089263,0
"ICGC-LIRI-JP (HCCDB18)",0.04,0.339430894308943,0.339430894308943,0
"ICGC-LIRI-JP (HCCDB18)",0.05,0.332477535301669,0.332477535301669,0
"ICGC-LIRI-JP (HCCDB18)",0.06,0.327711468604048,0.325376232485729,0
"ICGC-LIRI-JP (HCCDB18)",0.07,0.323629687909782,0.318122213480199,0
"ICGC-LIRI-JP (HCCDB18)",0.08,0.319194061505832,0.310710498409332,0
"ICGC-LIRI-JP (HCCDB18)",0.09,0.313990887161619,0.303135888501742,0
"ICGC-LIRI-JP (HCCDB18)",0.1,0.296747967479675,0.295392953929539,0
"ICGC-LIRI-JP (HCCDB18)",0.11,0.290353521512743,0.287476020827624,0
